,exp_name,env_name,seed,metric,env_step,value
436,fog,h1-balance_simple-v0,34,avg_return,925000.0,526.5
437,fog,h1-balance_simple-v0,34,avg_return,950000.0,573.3
438,fog,h1-balance_simple-v0,34,avg_return,975000.0,304.8
439,fog,h1-balance_simple-v0,34,avg_return,1000000.0,440.8
440,fog,dog-stand,22,avg_return,25000.0,100.0
441,fog,dog-stand,22,avg_return,50000.0,53.1
442,fog,dog-stand,22,avg_return,75000.0,248.1
443,fog,dog-stand,22,avg_return,100000.0,421.4
444,fog,dog-stand,22,avg_return,125000.0,553.0
445,fog,dog-stand,22,avg_return,150000.0,600.1
446,fog,dog-stand,22,avg_return,175000.0,767.8
447,fog,dog-stand,22,avg_return,200000.0,597.8
448,fog,dog-stand,22,avg_return,225000.0,677.3
449,fog,dog-stand,22,avg_return,250000.0,738.7
450,fog,dog-stand,22,avg_return,275000.0,855.1
451,fog,dog-stand,22,avg_return,300000.0,833.6
452,fog,dog-stand,22,avg_return,325000.0,923.1
453,fog,dog-stand,22,avg_return,350000.0,972.5
454,fog,dog-stand,22,avg_return,375000.0,942.7
